Review_ID,Movie_Title,Source,Reviewer,Review_Date,Rating,Review_Title,Review_Text,Review_Length,Helpful_Votes_Up,Helpful_Votes_Down,Spoiler_Flag
imdb_the_rapture_boba_fett1138_20111003,The Rapture,IMDb,Boba_Fett1138,2011-10-03,7,Has its originality going for it.,"It's hard to form an opinion about this movie really, since it's hard to say what the movie is actually trying to achieve and say. This also means that the movie is quite an unique one really, which is something that still makes this movie interesting and a good watch. Thing I'm still confused about is if it was supposed to be Christian propaganda or one that criticizes and openly questions it. That movie does both things really, which also does make the movie more or less unpredictable, which is however also a positive thing though of course. Perhaps this was also exactly what the film-makers were aiming for; confuse its viewers so that they can openly question and think about things and get into discussions with each other. Seems to me that everybody will interpret this movie in their own way and both Christians and atheists can both get plenty out of this movie. So really no matter how you feel about this movie, you'll still get intrigued by it. This is a great power that this movie has and the foremost reason why I actually ultimately ended up liking it, even though I didn't always understood what was going on exactly. This is a bit of a problem with the movie. It gets a quite messy one at times and due to its storytelling, we have to take a lot of things for granted. Not everything feels- and flows naturally, which doesn't always make this the most believable movie. But perhaps it feels a bit off and odd just because the movie is taking such an original approach and features an unique concept in it. Because of that it is hard to compare this to anything we know and are familiar with. It's just a one of a kind movie that you should also take that way. Don't think too much about its storytelling or acting, just focus on its themes instead and you'll see that this is a quite good and intriguing movie. Christian or atheist; the movie doesn't really pick 'sides' with anyone and everyone will get something different out of this movie. 7/10 http://bobafett1138.blogspot.com/",359,10,1,False
imdb_the_rapture_todyun_20190919,The Rapture,IMDb,todyun,2019-09-19,7,NULL,Great atmosphere that feels very apocalyptic and melancholic. Focuses more on the influence of faith and the silence of God more than the actual rapture. Mimi Rogers gives a very good performance.,32,4,0,False
imdb_the_rapture_taketworeviews_20230209,The Rapture,IMDb,TakeTwoReviews,2023-02-09,7,Kermode. Not wrong.,"I'm here because Mark Kermode told me to watch this. I hope he's right, the poster looks a bit racy. There's an instant dark tone. Okay it's called The Rapture, but we open on an oppressive call centre scene, like something from a Cronenberg nightmare. People trapped in cubicles, muttering to themselves. One such mutterer is Sharon (Mimi Rogers) who along with Vic (Patrick Bauchau), likes to cruise the local LA bars and pick up people like Randy (David Duchovny). It's fair to say Sharon, is bored, unfulfilled. Despite jumping into bed with Randy, who's, well, randy. ""Everything just seems so empty"". Until she comes across some Jesus types, who talk about a coming prophet and she starts hearing about the dream. A collective vision that some more Jesus type coworkers whisper about around the water cooler. It's got that weird almost Lynchian 90s vibe. Everything a little soulless. Sparse. Bathed in an orange hue. Sharon decides she's had enough trying to find meaning in meaningless sex. She wants to find God and be saved. Randy is not convinced and Sharon finds the readjustment something of a challenge, but she does have an experience and becomes something of an evangelist. Telling people calling directory enquires that they need to be ready for God returning. It's very mysterious, especially as things get a little culty in Sharon's new circles. Soon those new circles are older as we're told it's 6 years later and Sharon together with Randy have a child, named Mary of course. They all believe the rapture is imminent. That there's a purpose, a meaning, but things get confusing for Sharon when a disgruntled working goes nuts with a shotgun in Randy's office. ""Life is some kind of punishment isn't it"". Rogers plays this well. She's creepy and convincing. Mary (Kimberly Cullum) too as, left alone, they camp out in the desert... waiting. It takes a little time to really dig in and you need an open mind, but this is really good. Kermode. Not wrong.",337,4,0,False
imdb_the_rapture_christhecat_20070518,The Rapture,IMDb,christhecat,2007-05-18,6,"Is this REALLY a ""pro-Christian"" film?","I saw this when it came out in 1991, and again recently, and it amazes me how many people see this as a purely pro-Christian film. I've always thought it was as much an indictment of fundamentalist Christianity, as ""pro-Christian."" Consider this: if it is such a pro-Christian film, why does the protagonist unapologetically refute Christianity at the end? And ask yourself: will this film really convert any non-believers? (Mimi Rogers' character begins the film empty inside, and ends the film just as empty-- that will hardly convince anyone who is looking for answers.) The Rapture presents a simplified version of the millennial view that fundamentalist Christians believe and so fundamentalists see it as pro-Christian. Conversely, if you come to this film as an atheist or agnostic you will get all the bitter distaste religion already gives you in spades. I suspect anyone with a purely open mind (including non-fundamentalist Christians) will come away confused, and ponder the film for some time (indeed, that's how I felt the first time I saw it). This film was the first to give me the notion that fundamentalist Christians have essentially given up on this world, and can't wait for The Rapture: Mimi and her co-believers have a bunker mentality, they gather together, listen to the young prophet, perhaps try to convert others, and are filled with joy that the world is coming to an end (are their lives that empty that they can't wait for the world to end?) I was reminded of this again recently (in 2006) when Israel attacked Hezbollah in Lebanon, and hundreds of posts appeared on Christian message boards from Christians who ""felt like dancing"" because they thought it was the beginning of the end. Such a small view of God. I would think God was infinite, and thus the universe were infinite, rather than revolving around one tiny planet, with everything predetermined, and the end coming like a carefully crafted stage-play, with the true believers cowering before the Lord, praying that their sinful neighbors all go to Hell.",341,15,6,True
imdb_the_rapture_mombasa_pete_20061224,The Rapture,IMDb,mombasa_pete,2006-12-24,10,You people need to understand this film better.,"The final scenes which show the end of the world and the apocalypse and the passing of all the biblical prophecies (the four horsemen, the trumpets etc) are NOT hallucinatory. They are supposed to be real not inside the main character's head. Look at the way they are depicted, she is in a police station, and the people around her react to these things, another woman prisoner begins singing ""hark the herald angel"", the bars fall magically off the cell doors, the TV that is on starts showing the 4 horsemen and angelic figures, and we hear the sound of the trumpet and see everyone: the sheriffs, the prisoners reacting to this. The point of the film is this: that religious fanaticism may be frightening. But what would be EVEN MORE frightening: what if the religious zealots depicted in the film, what if they turned out not to be misguided or wrong in their beliefs but to be RIGHT: that the Book of Revelations actually WILL come true! This is what makes the film so terrifying. The very final scene where the 2 remaining characters, Will Patton and Mimi Rogers are in Heaven, shows that in the end even though the world has ended and the coming of the Apocalypse has passed, and the Second Reign of Heaven has come, that in the end, the Mimi Rogers character finally realizes that in spite of her previous choices, that she decides human free will and the right to question, to choose (i.e. free speech) must be paramount, EVEN if this means she is condemned to purgatory forever. So she chooses NOT to embrace God, this is why Will Patton suddenly vanishes, he chooses to and goes to Heaven, but she allows her earlier doubts, about how God can allow evil and suffering, to prevent her from accepting God as the Saviour. She accepts He exists, but will not follow Him. So THIS is the film's ultimate message: that human freewill may triumph even against the strongest powers. I know this may be hard to accept, but it does not make the film anti-Christian but thought provoking. I am Catholic and was not offended by the film at all, as it raises important issues. What is sad is that it is clear from previous comments on this site is that it went straight over many people's heads. Read more, attend more University courses, is my advice.",404,51,9,True
imdb_the_rapture_lukecustomer2_20210528,The Rapture,IMDb,LukeCustomer2,2021-05-28,7,This movie did (and does) make me think,"First, this movie is very sexually graphic so don't watch it with mom or dad or the kids. But I think it speaks to the idea of the loss and confusion of humanity. Sharon is representative of most human beings. A boring job, a boring life, searching for meaning.. possibly with sex and then with religion (ironic that Rogers was a scientologist). It is just something to help you get through this life. What got me about this script is the moving ending. After being disappointed so many times in life, in god, Sharon would rather be in purgatory for eternity than say she loves god. Isn't that the human way? Stubborn and self destructive. But i have to admit if had been in Sharon's place I might have had the exactly same decision. I also enjoy that they actually try to do the Rapture.. in a vey serious and haunting way. The final minutes of this movie I think will always remember.",163,6,1,False
imdb_the_rapture_david.richmond_20010211,The Rapture,IMDb,david.richmond,2001-02-11,1,Unredeemable,"I think the unintended moral of this film may be, don't blame GOD for making stupid choices based upon erroneous assumptions. Otherwise, The Rapture is so confused in its depiction of Christianity as to render it's ""message"" irrelevent and greatly overpraised. Anyone who thinks this movie somehow makes an ""important"" statement about so-called Christian Fundamentalism has apparently never heard of a straw man argument. These characters are purely fictional creations following the path of a contrived storyline. They espouse a cultish theology that is at best only superficially Christian. I have been a Christian for most of my life and read the Bible completely through several times. What was shown in this film was so far removed from Biblical Christianity that it left me wondering if Tolkin did this intentionally, trying to connect with the average person's hazy familiarity with Biblical prophecy, or was just too lazy to do any research. Regardless, it takes the sting out of any supposed message other than that Mimi Rogers' character needed counseling and should have chosen her spiritual leaders more wisely. I am tempted to recommend that sincere Christians might think about watching this film just to see how we and our beliefs often look to others. I might even recommend viewing it alongside Robert Duvall's film The Apostle for contrast. I can credit Duvall that I felt like I had actually met some of the characters in his film, which is something I cannot say for The Rapture.",246,17,18,False
imdb_the_rapture_kbnewton_20000623,The Rapture,IMDb,kbnewton,2000-06-23,8,Complicated and uncompromising -- possibly Mimi Rogers' finest performance.,"A haunting movie -- one that lingers in the mind (and the heart) for a long time afterwards. Mimi Rogers turns in a stunning performance as a woman trapped in a cycle of dull work and duller play, whose life is transformed twice -- first by a religious conversion, and then by coming face to face with the literal meaning of that conversion. She is incandescent in her belief, and in the movie's final scenes, takes on the epic proportions of a Job or King Lear. You may be puzzled, conflicted, or even offended by what the movie ""means,"" but you won't be able to walk away from it untouched.",110,46,8,False
imdb_the_rapture_ba_harrison_20250111,The Rapture,IMDb,BA_Harrison,2025-01-11,7,Thought-provoking theological themes.,"The Rapture is one of those films that leaves the viewer thinking about the topics raised long after the end credits have rolled. Whatever your opinions on religion, the themes explored in the movie are extremely interesting, writer/director Michael Tolkin inviting discourse about the nature of God, Christianity and the Bible. Mimi Rigers plays Sharon, a telephone operator who spices up her dull life by partaking in the swinging scene with her partner Vic (Patrick Bauchau). It is through these sexual shenanigans that she meets Randy (David Duchovny), with whom she forms a meaningful connection. At the same time, Sharon also discovers God, and decides to turn her life around, leaving the partner swapping behind and settling down with Randy. Six years later, Sharon and Randy have a daughter named Mary, and await the Rapture, which, according to a young prophet in their religious circle, is imminent. After Randy is shot to death by a disgruntled employee, Sharon experiences strange visions that lead her and Mary to the desert where they eagerly await the sound of Gabriel's trumpets that will signal the beginning of the Apocalypse... Will the Rapture actually happen, or are Sharon and Mary mistaken in their beliefs? Although Tolkin ultimately depicts the Rapture as a very real event, his stance on religion remains unclear, the script raising many questions. Why does God demand that we must love him in order for us to ascend to heaven? Are all of our sins absolved if we profess our love for the Almighty? Why must we have faith in something we cannot see? Why does God make us suffer on Earth? What happens to those left behind? Tolkin doesn't provide any answers - his film exists to spark conjecture and discussion. The Rapture is also quite a shocking film, with numerous graphic sex scenes in the first half, the brutal slaughter of several people by the shotgun-toting loony who blasts Randy, and a really disturbing moment in the desert when Sharon's love for Mary and her dedication to God forces her to take extreme action. So not for the whole family, then.",352,2,0,False
imdb_the_rapture_spida_20020531,The Rapture,IMDb,spida,2002-05-31,3,Thank goodness I didn't pay to see this movie.,"Other than the appearances of Will Patton and Mimi Rogers, this movie was a complete waste of film, time and effort. The plot was ridiculous, the dialog awful. I stumbled across this movie early on a Saturday morning as something to watch while I folded and ironed laundry. It had already started so I missed the title. Had I seen the title, I might have had a clue as to the content. Sometimes, the adage 'you can't judge a book by the cover' just doesn't hold up.",87,12,12,False
