total_volume,furniture_sitting,animals,social_npc,birthday_events,furniture_sitting_pct,animals_pct,social_npc_pct,birthday_events_pct
2359,81.0,70.0,66.0,14.0,3.433658329800763,2.967359050445104,2.7977956761339553,0.5934718100890208
2452,72.0,41.0,65.0,31.0,2.936378466557912,1.6721044045676998,2.65089722675367,1.264274061990212
1257,42.0,17.0,31.0,13.0,3.341288782816229,1.352426412092283,2.4661893396976926,1.0342084327764518
886,14.0,28.0,11.0,8.0,1.580135440180587,3.160270880361174,1.2415349887133182,0.9029345372460496
670,16.0,18.0,13.0,4.0,2.3880597014925375,2.6865671641791042,1.9402985074626864,0.5970149253731344
566,5.0,8.0,9.0,2.0,0.88339222614841,1.4134275618374559,1.5901060070671376,0.35335689045936397
286,6.0,5.0,8.0,1.0,2.097902097902098,1.7482517482517483,2.797202797202797,0.34965034965034963
431,8.0,6.0,7.0,1.0,1.8561484918793503,1.3921113689095126,1.6241299303944314,0.23201856148491878
345,10.0,5.0,10.0,1.0,2.898550724637681,1.4492753623188406,2.898550724637681,0.2898550724637681
337,10.0,21.0,5.0,10.0,2.967359050445104,6.231454005934718,1.483679525222552,2.967359050445104
133,5.0,1.0,5.0,0.0,3.7593984962406015,0.7518796992481203,3.7593984962406015,0.0
111,2.0,2.0,1.0,1.0,1.8018018018018018,1.8018018018018018,0.9009009009009009,0.9009009009009009
46,0.0,1.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0
75,2.0,2.0,0.0,0.0,2.666666666666667,2.666666666666667,0.0,0.0
79,4.0,0.0,0.0,0.0,5.063291139240507,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0,1.0638297872340425,0.0,0.0,0.0
50,3.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0
68,2.0,9.0,2.0,0.0,2.941176470588235,13.23529411764706,2.941176470588235,0.0
76,1.0,4.0,2.0,2.0,1.3157894736842104,5.263157894736842,2.631578947368421,2.631578947368421
43,2.0,1.0,1.0,0.0,4.651162790697675,2.3255813953488373,2.3255813953488373,0.0
50,1.0,2.0,0.0,1.0,2.0,4.0,0.0,2.0
103,6.0,3.0,4.0,0.0,5.825242718446602,2.912621359223301,3.8834951456310676,0.0
31,2.0,0.0,0.0,0.0,6.451612903225806,0.0,0.0,0.0
62,1.0,0.0,4.0,2.0,1.6129032258064515,0.0,6.451612903225806,3.225806451612903
74,1.0,0.0,1.0,0.0,1.3513513513513513,0.0,1.3513513513513513,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
