video_id,title,description,published_date,duration,view_count,like_count,comment_count,video_url,channel_name,channel_id,duration_seconds,days_since_published,engagement_rate,views_per_day,likes_per_view
y8Lh1QB506w,"Why NYFA? Travel, Study, and Create in Cities That Inspire — Worldwide.","Study film, media, and performing arts in inspiring cities around the world. The New York Film Academy gives students the opportunity to travel, study, and create in places that offer new perspectives, rich cultural experiences, and expanded opportunities — including New York City, Los Angeles, Paris, Beijing, and Kazakhstan.

Whether you're pursuing Filmmaking, Acting for Film, Cinematography, Musical Scoring, 3D Animation & VFX, Game Design, Broadcast Journalism, Producing, or another creative discipline, NYFA offers immersive, hands-on programs designed to help you grow as an artist and storyteller.

Across all NYFA locations, students experience:
– Hands-on training from day one
– Access to world-class equipment and professional facilities
– Guidance from industry-experienced faculty
– Diverse communities of creators from around the globe
– Environments that expose you to new cultures, creative styles, and real-world learning

From the artistic energy of New York City, to the film capital of Los Angeles, to the cultural richness of Paris, the global creative landscapes explored in Beijing, and the unique storytelling traditions found in Kazakhstan, NYFA is committed to giving students more places to learn, more ways to grow, and more opportunities to create.

🌐 Learn more at: https://www.nyfa.edu

#NYFA #NewYorkFilmAcademy #FilmSchool #ActingSchool #CreativeArts #StudyAbroad #GlobalLocations #Filmmaking #ActingForFilm #AnimationSchool #VFX #FilmPrograms",2025-12-02 22:00:44+00:00,PT31S,60690,9,0,https://www.youtube.com/watch?v=y8Lh1QB506w,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,31,11,0.01,5517.27,0.01
Gz-GEDhAjwY,Photo Guest Speaker Series - Robin Schwartz,"The New York Film Academy (NYFA) sat down with photographer Robin Schwartz as part of our Photo Guest Speaker Series.

Robin Schwartz is a photographer driven to capture the sameness of animals and humans. She is a 2016 Guggenheim Fellow in photography with photographs in the collections of the Metropolitan Museum, MoMA, the Smithsonian American Art Museum, SF MOMA, The Brooklyn Museum and the Bibliothéque Nationale, France, National Museum of Photography, Film and Television, England; and The Museum Folkwang, Germany, among others.

Robin’s fourth monograph is Amelia and the Animals published by Aperture, sited by Time LIGHTBOX as one of the Best Fall Books of 2014. Earlier books are Amelia’s World, 2008 Aperture; LIKE US: Primate Portraits, 1993 W.W. Norton & Co.; and Dog Watching, 1995, Takarajima Books. Robin’s photographs have been published in the New York Times Magazine, Time Magazine LIGHTBOX, The New Yorker, Oprah, NPR, Fader, Slate, Stern, Telegraph UK, Guardian UK, Hyperallergic and Musée Magazines, Brooklyn Museum; Bibliothéque Nationale, Paris, France.

Schwartz has presented Master Talks at the National Geographic Magazine Seminar, LOOK3: The Festival of the Photograph, The Eddie Adams Workshop, the Aperture Foundation, FotoDC Week, FOTOfusion and The Chrysler Museum of Art, Norfolk VA, among others. She is a professor in photography at William Paterson University of New Jersey.",2025-11-20 16:46:47+00:00,PT59M13S,40,1,0,https://www.youtube.com/watch?v=Gz-GEDhAjwY,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3553,23,2.5,1.74,2.5
yMLjs4NBenU,Photo Guest Speaker Series- Michael Troast,"The New York Film Academy (NYFA) sat down with photographer Michael Troast as part of out Photo Guest Speaker Series. 

Michael Troast is a photographer based in Brooklyn. He got his first camera at 12, built a darkroom by 13 with gear from a $150 yard sale haul, and spent his teens chasing skateboarding, graffiti, and street life through a lens. He’s been at it ever since. After helping launch Gotham and Complex magazines in the early 2000s, Michael went on to manage studios, lead creative teams, and produce hundreds of shoots — from Fox Racing in California to eCommerce in Hoboken.

Now he runs his own space in the Lower East Side, where every shoot starts with understanding what the client actually needs. He’s hands-on with set building and design, and swears the easy part is taking the photo — the hard part is everything before it.

Self-taught, endlessly curious, husband, dad of two, and happiest outdoors — sailing, surfing, or cooking.",2025-11-20 16:36:49+00:00,PT55M36S,40,1,0,https://www.youtube.com/watch?v=yMLjs4NBenU,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3336,23,2.5,1.74,2.5
8tjRvsI3nZw,Photo Guest Speaker Series - Pixy Liao,"The New York Film Academy (NYFA) sat down with photographer Pixy Liao

Born and raised in Shanghai, Pixy Liao is a photographer currently residing in Tokyo.Her long-term photo project “Experimental Relationship” challenges conventional ideas of gender dynamics. Liao has had solo exhibitions both nationally and internationally, including the Art Institute of Chicago, Fotografiska, Rencontres d’Arles, the Asia Society, and the National Gallery of Australia.

She is a recipient of a New York Foundation of the Arts Fellowship in photography, Santo Foundation Individual Artist Awards, Madame Figaro Women Photographers Award, En Foco's New Works Fellowship, etc. She has also had artist residencies at Light Work, Lower Manhattan Cultural Council, Center for Photography at Woodstock, University of Arts London, La Residencia, School of Visual Arts, Pioneer Works, and Camera Club of New York.",2025-11-20 15:08:50+00:00,PT56M2S,56,3,0,https://www.youtube.com/watch?v=8tjRvsI3nZw,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,3362,23,5.36,2.43,5.36
w7cuIXPxP0g,NYFA FILMMAKING HIGHLIGHTS,"TAKE A LOOK INTO SOME OF THE WORK OUR FILMMAKING STORYTELLERS HAVE CREATED WHILE HERE AT NYFA! 

Filmmakers tell captivating stories through film, television, and new media, using compelling narratives and engaging performances to bring their cinematic vision to life. At NYFA’s Film School, aspiring filmmakers master these skills and techniques, choosing from a variety of Filmmaking degrees, certificate programs, and workshops at our campuses in New York, Los Angeles, and Florence (Italy), as well as numerous international locations. During these hands-on programs, students learn-by-doing, spending a majority of their studies writing, shooting, editing, directing, and producing original films and digital content.

Through robust coursework, production workshops, and actual on-set experience that reflects the work done within the film industry, students build their confidence as directors and filmmakers. NYFA filmmaking students explore every phase of classical film structure and content creation, receiving a well-rounded education in the always-evolving art of visual storytelling. Our rigorous, accelerated approach provides students with the opportunity to make a number of films during their time at NYFA, and graduates leave our programs with a selection of their best work. Typically, the longer the program, the more content and films students get to create. For students interested in creating non-fiction content, we also offer a number of programs specifically for documentary films.

As the original disruptors of the Hollywood gate-keeping system, NYFA strives to make education in filmmaking accessible to the most diverse, international, and broadest community of students. At our film school, we foster an environment that is creatively challenging, respectful, and actively supportive of each unique student and of a collectively diverse student body.

#NYFA #NEWYORKFILM ACADEMY #NYFANY #NYFALA #FILMMAKING",2025-10-13 16:42:21+00:00,PT5M39S,566,23,4,https://www.youtube.com/watch?v=w7cuIXPxP0g,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,339,61,4.77,9.28,4.06
iSzWMDDIPKs,WE ARE NYFA - NEW YORK FILM ACADEMY,"Over the last few decades, the New York Film Academy has become one of the most prominent institutions for visual and performing arts education. Known as ""The Original Hands-on Film, Media, and Performing Arts School,"" NYFA was founded on the philosophy that “learning by doing” combined with best industry practices is more valuable than years of theoretical study for film, media, and performing arts students. 

NYFA offers hands-on intensive undergraduate and graduate degree programs, certificates, and workshops across a multitude of areas of study in New York City, Los Angeles, South Beach/Miami, Gold Coast (Australia), Florence (Italy), and more. Its programs are accelerated and NYFA students can complete a four-year BFA degree in three years. 

WE ARE NYFA. https://www.nyfa.edu/",2025-07-11 15:56:36+00:00,PT4M48S,4801,44,4,https://www.youtube.com/watch?v=iSzWMDDIPKs,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,288,155,1.0,30.97,0.92
n7xRdDW3zzs,Io Canto Generation 2024 Winner Namite Selvaggi at NYFA Florence,,2025-07-07 21:24:42+00:00,PT4M27S,805,22,8,https://www.youtube.com/watch?v=n7xRdDW3zzs,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,267,159,3.73,5.06,2.73
-U8_QPGdX2k,NYFA - Are You Up For the Challenge?,"NYFA offers hands-on intensive undergraduate and graduate degree programs, certificates, and workshops across a multitude of areas of study in New York City, Los Angeles, South Beach/Miami, Gold Coast (Australia), Florence (Italy), and more. Its programs are accelerated and NYFA students can complete a four-year BFA degree in three years. 

Are You Up For the Challenge?

#NYFA #NYFANY #NYFALA #NYFAMIAMI

Follow NEW YORK FILM ACADEMY
· Instagram - https://bit.ly/NYFA_Instagram
· TikTok - https://bit.ly/NYFA_TikTok
· Facebook - https://bit.ly/NYFA_Facebook
· Twitter - https://bit.ly/NYFA_Twitter
· LinkedIn - https://bit.ly/NYFA_LinkedIN
 
https://www.nyfa.edu",2025-04-10 17:07:58+00:00,PT1M,9865,30,2,https://www.youtube.com/watch?v=-U8_QPGdX2k,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,60,247,0.32,39.94,0.3
dobBP1uOuSA,NYFA Florence - 4-Week Digital Editing w/ DaVinci Resolve,"A strong editor knows how to piece together a compelling, engaging story. In NYFA’s full-time, 4-Week Digital Editing with DaVinci Resolve in Florence, students learn the art of storytelling for film, television, and media and become proficient in editing with DaVinci Resolve.

This workshop blends practical projects with in-depth coursework, giving you a solid foundation in editing with DaVinci Resolve—an industry-standard tool known for its powerful editing, color grading, and sound design capabilities. You’ll learn cutting techniques, post-production workflows, media management, sound design, basic effects, and color correction, all while working on real projects that build your portfolio.

By the end of the workshop, you’ll have a polished editing reel showcasing your work. If you’re considering a future in film or media, this workshop is the perfect place to start. 

#NYFA #NYFAFLORENCE #DaVinciResolve
Follow NEW YORK FILM ACADEMY
· Instagram - https://bit.ly/NYFA_Instagram
· TikTok - https://bit.ly/NYFA_TikTok
· Facebook - https://bit.ly/NYFA_Facebook
· Twitter - https://bit.ly/NYFA_Twitter
· LinkedIn - https://bit.ly/NYFA_LinkedIN
 
https://www.nyfa.edu",2025-04-08 21:03:22+00:00,PT1M3S,405,14,0,https://www.youtube.com/watch?v=dobBP1uOuSA,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,63,249,3.46,1.63,3.46
XXm52V1CU2M,Andre Royo Inspires NYFA Students at New York Film Academy Guest Speaker Event,"In an inspiring and thought-provoking guest speaker event, renowned actor Andre Royo visited the New York Film Academy (NYFA) at the New York City campus to offer students and faculty insight into the world of acting, storytelling, and the entertainment industry. Best known for his compelling portrayal of Bubbles in the critically acclaimed HBO series The Wire, Royo’s career spans a wide array of television and film roles including shows like Empire, The Path, and How to Make It in America.",2025-02-25 17:29:53+00:00,PT1H19M57S,368,8,0,https://www.youtube.com/watch?v=XXm52V1CU2M,New York Film Academy,UC2_COAy4xu9Nffli2hsbDgA,4797,291,2.17,1.26,2.17
